open_time,close,EMA10,EMA25,Crossover,Signal,Position,Market_Return,Strategy_Return,Cumulative_Market_Return,Cumulative_Strategy_Return
2023-11-27 04:00:00,2051.24,2059.101312474646,2066.7829634894497,0,0,0,,0.0,,0.0
2023-11-27 05:00:00,2047.1,2056.9192556610737,2065.268889374877,0,0,0,-0.0020182913749731135,-0.0,-0.0020182913749731135,0.0
2023-11-27 06:00:00,2041.76,2054.16302735906,2063.460513269117,0,0,0,-0.0026085682184553427,-0.0,-0.004621594742692081,0.0
2023-11-27 07:00:00,2045.1,2052.515204202867,2062.0481660945698,0,0,0,0.0016358435859258336,0.0,-0.0029933113628828334,0.0
2023-11-27 08:00:00,2046.22,2051.370621620528,2060.830614856526,0,0,0,0.0005476504816390726,0.0,-0.0024473001696533325,0.0
2023-11-27 09:00:00,2045.13,2050.235963144068,2059.622875252178,0,0,0,-0.0005326895446237101,-0.0,-0.002978686063064062,0.0
2023-11-27 10:00:00,2024.32,2045.5239698451464,2056.907269463549,0,0,0,-0.010175392273351846,-0.0,-0.013123769037265087,0.0
2023-11-27 11:00:00,2024.91,2041.775975327847,2054.445941043276,0,0,0,0.0002914558963009739,0.0,-0.012836138140831732,0.0
2023-11-27 12:00:00,2018.4,2037.525797995511,2051.6731763476396,0,0,0,-0.003214957701823784,-0.0,-0.016009828201478005,0.0
2023-11-27 13:00:00,2023.73,2035.0174710872363,2049.523701243975,0,0,0,0.0026407055093142784,0.0,-0.013411399933698553,0.0
2023-11-27 14:00:00,2015.87,2031.5361127077388,2046.9349549944388,0,0,0,-0.003883917320986585,-0.0,-0.01724322848618398,0.0
2023-11-27 15:00:00,2003.15,2026.3750013063316,2043.5668815333283,0,0,0,-0.006309930699896271,-0.0,-0.023444355609289924,0.0
2023-11-27 16:00:00,2021.53,2025.4940919779074,2041.8717367999957,0,0,0,0.009175548511094922,0.0,-0.014483921920399379,0.0
2023-11-27 17:00:00,2010.36,2022.742438891015,2039.44775704615,0,0,0,-0.005525517800873625,-0.0,-0.019929408552875394,0.0
2023-11-27 18:00:00,2007.02,2019.883813638103,2036.9533141964462,0,0,0,-0.001661393979187742,-0.0,-0.02155769193268464,0.0
2023-11-27 19:00:00,1994.64,2015.294029340266,2033.6984438736426,0,0,0,-0.006168349094677672,-0.0,-0.027593065657846028,0.0
2023-11-27 20:00:00,1995.69,2011.7296603693085,2030.774717421824,0,0,0,0.000526410780892661,0.0,-0.027081180164193586,0.0
2023-11-27 21:00:00,2015.66,2012.4442675748887,2029.6120468509146,0,0,0,0.010006564145734087,0.0,-0.017345605584914714,0.0
2023-11-27 22:00:00,2020.23,2013.859855288545,2028.8903509393058,0,0,0,0.0022672474524472186,0.0,-0.015117684912541063,0.0
2023-11-27 23:00:00,2027.57,2016.3526088724457,2028.7887854824362,0,0,0,0.0036332496794919678,0.0,-0.011539361556912264,0.0
2023-11-28 00:00:00,2033.79,2019.5230436229099,2029.1734942914798,0,0,0,0.003067711595653888,0.0,-0.008507049394512967,0.0
2023-11-28 01:00:00,2026.36,2020.7661266005625,2028.957071653674,0,0,0,-0.003653277870379945,-0.0,-0.012129248649597746,0.0
2023-11-28 02:00:00,2026.45,2021.799558127733,2028.7642199880067,0,0,0,4.4414615369525734e-05,0.0,-0.012085372750141765,0.0
