open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2023-11-23 00:00:00,0.07574,0.07626,0.07528,0.07596,561219044,42559473.90678,78734,259754674,19701634.21289
2023-11-23 04:00:00,0.07596,0.07625,0.07563,0.07579,403865495,30662167.74845,53701,181435195,13775772.97795
2023-11-23 08:00:00,0.07578,0.0764,0.0754,0.07578,683737616,51973887.02814,96383,332900432,25309343.39021
2023-11-23 12:00:00,0.07579,0.07597,0.07492,0.07506,771902824,58279670.59184,107881,377149170,28479927.91385
2023-11-23 16:00:00,0.07507,0.07612,0.07501,0.07572,459776316,34803636.14281,68340,224151856,16967122.13936
2023-11-23 20:00:00,0.07573,0.0764,0.07568,0.0762,403165748,30695241.31933,61905,212488727,16178949.18066
2023-11-24 00:00:00,0.07621,0.07745,0.07602,0.07709,760894768,58432253.01775,108271,381708640,29325895.97111
2023-11-24 04:00:00,0.07709,0.0778,0.07679,0.07772,505688799,39038451.1781,75752,258623116,19972318.42801
2023-11-24 08:00:00,0.07773,0.07839,0.0773,0.07741,1100066888,85508082.75221,145236,539670740,41949680.98018
2023-11-24 12:00:00,0.07742,0.0782,0.07695,0.07792,1001648672,77666926.12459,122598,482094388,37386459.1727
2023-11-24 16:00:00,0.07792,0.07816,0.07712,0.07738,815239122,63232554.16099,109015,396876301,30786015.22539
2023-11-24 20:00:00,0.07739,0.07866,0.07725,0.07816,773881351,60353374.48768,113455,390001363,30413503.13564
2023-11-25 00:00:00,0.07816,0.07917,0.07773,0.07905,961301177,75566535.8992,130729,467052746,36719568.05101
2023-11-25 04:00:00,0.07905,0.07909,0.0783,0.07887,357580798,28150416.77225,58478,162919060,12826622.86354
2023-11-25 08:00:00,0.07888,0.07905,0.07754,0.07797,566780296,44359859.4914,81180,270236657,21148740.7242
2023-11-25 12:00:00,0.07797,0.0785,0.07782,0.07839,397664993,31079249.92142,74196,193528237,15128005.30557
2023-11-25 16:00:00,0.07839,0.07915,0.07828,0.07863,466929140,36769345.82611,83389,252072870,19850860.53278
2023-11-25 20:00:00,0.07864,0.07901,0.07828,0.07895,387235109,30464432.2992,54847,194619396,15310346.58531
2023-11-26 00:00:00,0.07894,0.07901,0.0781,0.07834,442832678,34761011.78768,64532,209113606,16413705.40862
2023-11-26 04:00:00,0.07834,0.07872,0.07816,0.07826,336730195,26408110.19858,59448,159918011,12542912.68802
2023-11-26 08:00:00,0.07827,0.07832,0.07766,0.07777,432771300,33747397.71575,62766,197479984,15402043.39085
2023-11-26 12:00:00,0.07778,0.07804,0.07709,0.07733,961736159,74621659.59116,105071,450397479,34950779.66236
2023-11-26 16:00:00,0.07733,0.07753,0.07524,0.07702,1320198869,100956602.0691,152368,610307109,46683450.97853
