open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2023-11-23 00:00:00,1467.5,1495.5,1462.8,1477.5,7407.997,10953184.521,47846,3737.715,5526773.7038
2023-11-23 04:00:00,1477.3,1482.4,1443.8,1452.6,9146.963,13364679.7091,48519,4577.45,6689909.42
2023-11-23 08:00:00,1452.7,1489.5,1449.9,1465.5,15409.851,22646686.8249,73298,8018.012,11782691.278
2023-11-23 12:00:00,1465.4,1497.9,1463.7,1477.8,11098.927,16425855.871,64367,5359.552,7932210.3272
2023-11-23 16:00:00,1477.9,1484.8,1459.3,1465.0,6304.132,9278650.658,40411,3168.931,4662776.3948
2023-11-23 20:00:00,1465.0,1484.4,1463.8,1471.7,5198.078,7667139.4447,27809,2483.1,3661611.9729
2023-11-24 00:00:00,1471.6,1490.0,1467.0,1484.5,4899.836,7256315.4446,32317,2590.806,3836852.5192
2023-11-24 04:00:00,1484.4,1496.4,1479.0,1493.2,7064.977,10526075.8758,34323,3651.467,5440728.9141
2023-11-24 08:00:00,1493.3,1494.4,1470.0,1472.7,8045.861,11927784.1124,45104,3802.705,5637900.4451
2023-11-24 12:00:00,1472.5,1479.9,1457.4,1466.0,7543.575,11081890.7838,42068,3815.107,5605629.8279
2023-11-24 16:00:00,1466.0,1476.3,1452.0,1455.4,6575.107,9615428.8193,40978,3258.142,4767093.1446
2023-11-24 20:00:00,1455.4,1459.6,1442.7,1458.9,3262.714,4738980.9423,24583,1601.99,2327819.7895
2023-11-25 00:00:00,1458.9,1472.2,1453.8,1466.5,4141.162,6062948.1505,25894,2162.367,3165149.4161
2023-11-25 04:00:00,1466.5,1472.1,1457.7,1469.9,3031.598,4442346.1338,19428,1437.662,2106743.6491
2023-11-25 08:00:00,1469.8,1470.0,1451.5,1459.0,4392.862,6412356.957,26164,2135.582,3117300.5507
2023-11-25 12:00:00,1459.1,1460.8,1436.4,1448.4,4534.842,6573050.641,27433,2234.711,3240056.6977
